timestamp,test-class,test-method,time,description,result
2021-06-05 13:28:56.926,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,55937,"[1] recordIndex=2, executionStart=2021/08/01 14:05, executionEnd=2021/08/02 19:05, workLoad=29, title=Task 09, description=Description 09, link=null",OK
2021-06-05 13:30:02.187,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,62906,"[2] recordIndex=3, executionStart=2021/08/02 18:05, executionEnd=2021/08/05 19:05, workLoad=73, title=Task 10, description=Description 10, link=null",OK
2021-06-05 13:30:55.01,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,51510,"[3] recordIndex=4, executionStart=2021/08/03 19:00, executionEnd=2021/08/04 01:00, workLoad=6, title=Task 11, description=Description 11, link=http://www.no-suspicious-link.com",OK
2021-06-05 13:31:59.816,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,60450,"[4] recordIndex=5, executionStart=2021/08/09 19:00, executionEnd=2021/08/10 05:00, workLoad=10, title=Task 12, description=Description 12, link=null",OK
2021-06-05 13:33:06.864,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,62725,"[5] recordIndex=6, executionStart=2021/08/20 15:30, executionEnd=2021/08/21 19:28, workLoad=27, title=Task 13, description=Description 13, link=http://www.normalsite.com",OK
2021-06-05 13:33:58.654,acme.testing.usermanager.task.ManagerTaskCreateTest,createPositive,48449,"[6] recordIndex=7, executionStart=2021/08/02 14:00, executionEnd=2021/08/04 16:00, workLoad=50, title=Task 14, description=Description 14, link=null",OK
2021-06-05 13:34:39.965,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,37012,"[1] recordIndex=0, executionStart=2021/06/24 14:05, executionEnd=2021/06/24 19:05, title=Sex title, description=Description, link=null",OK
2021-06-05 13:35:20.234,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,37969,"[2] recordIndex=1, executionStart=2021/06/20 18:05, executionEnd=2021/06/21 19:05, title=Normal title, description=Normal description viagra, link=null",OK
2021-06-05 13:36:04.812,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,41269,"[3] recordIndex=2, executionStart=2021/06/22 19:00, executionEnd=2021/06/23 01:00, title=Normal title, description=No suspicious description, link=http://www.nigeria-site.com",OK
2021-06-05 13:36:42.149,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,34003,"[4] recordIndex=3, executionStart=2021/06/24 19:00, executionEnd=2021/06/22 05:00, title=Title, description=Description, link=null",OK
2021-06-05 13:37:28.596,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,41143,"[5] recordIndex=4, executionStart=2021/05/20 15:30, executionEnd=2021/05/21 19:28, title=Title 2, description=Description 2, link=null",OK
2021-06-05 13:38:11.934,acme.testing.usermanager.task.ManagerTaskCreateTest,createNegative,38020,"[6] recordIndex=5, executionStart=2021/07/02 14:00, executionEnd=2021/07/06 16:00, title=Title 3, description=null, link=null",OK
2021-06-05 13:39:53.58,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,57734,"[1] recordIndex=0, executionStart=2021/08/01 14:05, executionEnd=2021/08/02 19:05, workLoad=29, title=Task 09, description=Description 09, link=null",OK
2021-06-05 13:40:55.087,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,58182,"[2] recordIndex=1, executionStart=2021/08/02 18:05, executionEnd=2021/08/05 19:05, workLoad=73, title=Task 10, description=Description 10, link=null",OK
2021-06-05 13:41:55.73,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,56351,"[3] recordIndex=2, executionStart=2021/08/03 19:00, executionEnd=2021/08/04 01:00, workLoad=6, title=Task 11, description=Description 11, link=http://www.no-suspicious-link.com",OK
2021-06-05 13:42:56.13,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,58103,"[4] recordIndex=3, executionStart=2021/08/09 19:00, executionEnd=2021/08/10 05:00, workLoad=10, title=Task 12, description=Description 12, link=null",OK
2021-06-05 13:43:56.026,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,56589,"[5] recordIndex=4, executionStart=2021/08/20 15:30, executionEnd=2021/08/21 19:28, workLoad=27, title=Task 13, description=Description 13, link=http://www.normalsite.com",OK
2021-06-05 13:44:52.956,acme.testing.usermanager.task.ManagerTaskUpdateTest,updatePositive,55574,"[6] recordIndex=5, executionStart=2021/08/02 14:00, executionEnd=2021/08/04 16:00, workLoad=50, title=Task 14, description=Description 14, link=null",OK
2021-06-05 13:45:47.342,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,50073,"[1] recordIndex=0, executionStart=2021/06/24 14:05, executionEnd=2021/06/24 19:05, title=Sex title, description=Description, link=null",OK
2021-06-05 13:46:31.778,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,42102,"[2] recordIndex=1, executionStart=2021/06/20 18:05, executionEnd=2021/06/21 19:05, title=Normal title, description=Normal description viagra, link=null",OK
2021-06-05 13:47:21.199,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,46107,"[3] recordIndex=2, executionStart=2021/06/22 19:00, executionEnd=2021/06/23 01:00, title=Normal title, description=No suspicious description, link=http://www.nigeria-site.com",OK
2021-06-05 13:48:10.643,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,46100,"[4] recordIndex=3, executionStart=2021/06/24 19:00, executionEnd=2021/06/22 05:00, title=Title, description=Description, link=null",OK
2021-06-05 13:49:05.963,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,50999,"[5] recordIndex=4, executionStart=2021/05/20 15:30, executionEnd=2021/05/21 19:28, title=Title 2, description=Description 2, link=null",OK
2021-06-05 13:49:59.267,acme.testing.usermanager.task.ManagerTaskUpdateTest,updateNegative,51963,"[6] recordIndex=5, executionStart=2021/07/02 14:00, executionEnd=2021/07/06 16:00, title=Title 3, description=null, link=null",OK
